1	3	90	10.244637	-5.244660	-3.481136	-19.772290	7.736135	-0.478634	-6.511572
1	3	8	-2.290308	-0.483678	6.060658	-0.630866	7.736135	-0.478634	-6.351671
1	3	2	-5.294881	5.032139	6.060659	2.741307	7.736135	-0.478634	-1.240783
2	2	83	-8.457201	3.998643	6.634486	-4.041423	-5.090899	6.385794	-8.849917
2	2	17	4.123653	-6.323228	-2.529656	-16.511230	-5.090899	6.385794	-9.024712
3	6	32	8.506554	-2.546462	-3.667016	-12.343658	7.884831	0.929944	-3.843016
3	6	20	-12.646847	6.187839	7.921977	10.683394	7.884831	0.929943	5.899425
3	6	9	-18.506909	6.187839	7.921977	10.683394	-1.042836	7.454352	5.899425
3	6	16	-6.914981	1.128551	7.921977	8.650471	7.884831	0.929943	5.899423
3	6	20	-12.775043	1.128551	7.921977	8.650471	-1.042836	7.454352	5.899423
3	6	3	2.640722	-0.371399	-3.563647	-9.848657	-1.042836	7.454352	-3.843016
4	8	73	-11.908773	-1.190231	6.894292	6.230891	-4.932508	7.753514	7.983758
4	8	6	-7.413493	-1.190231	6.894287	6.230887	5.495017	3.452088	7.983758
4	8	3	4.099540	-6.891280	-4.963078	-9.124392	5.495017	3.452088	5.185893
4	8	8	4.197759	-6.931005	-4.963275	-15.484918	-4.932508	7.753514	1.505408
4	8	3	-1.895281	-1.192128	0.691449	-5.784964	5.495017	3.452088	5.224426
4	8	4	-7.264570	-1.190231	6.894286	-5.280276	-4.932508	7.753514	1.554979
4	8	2	-1.786517	-1.192609	0.579990	-12.229066	-4.932508	7.753514	1.505773
4	8	1	8.693040	-7.121261	-4.964146	-15.485101	5.495017	3.452088	1.505408
5	2	66	7.696585	-3.860988	2.069641	-8.202668	6.814073	0.506607	-5.651606
5	2	34	-8.211638	7.790766	6.374502	11.470458	6.814073	0.506607	5.387791
6	3	60	8.523337	-0.693510	-4.885464	-11.911016	-4.679407	6.907743	-3.634694
6	3	5	-3.427272	5.740865	6.637278	-1.074258	-4.679407	6.907743	-3.633756
6	3	35	-8.409850	5.740865	6.685973	10.951005	-4.679407	6.907743	7.203489
7	5	66	-15.926013	7.902764	3.855025	10.725334	-6.086819	6.667961	7.077034
7	5	5	0.329053	7.894336	-4.218705	-5.583465	5.547545	1.078423	-3.941876
7	5	14	-9.747499	7.902764	3.854842	10.725165	5.547545	1.078423	7.077034
7	5	4	10.692469	3.650697	-5.310324	-10.981301	5.547545	1.078423	-3.941906
7	5	11	4.437204	3.697507	-5.304890	-10.918293	-6.086819	6.667961	-3.941894
8	4	44	10.346002	-1.421055	-7.842074	-17.877911	8.370269	5.330781	-5.535861
8	4	50	9.082515	4.501688	-7.842074	-15.278510	8.370269	5.330781	-5.535548
8	4	5	-4.806684	7.272472	4.743085	7.634261	8.370269	5.330781	6.774259
8	4	1	-2.049856	7.257302	4.742013	-4.981064	8.370269	5.330781	-5.129683
9	8	16	9.242349	-3.918678	-6.357238	-16.840758	4.630939	-0.910018	-1.974097
9	8	48	6.432135	-3.918672	-6.357209	-16.840758	-2.840926	5.259304	-1.974097
9	8	3	-1.363593	7.795233	-0.844325	5.234170	4.630939	-0.910018	5.829905
9	8	10	0.431484	7.770540	-0.847280	-6.279045	-2.840926	5.259304	-1.974097
9	8	8	-15.235857	7.795283	5.707979	8.575228	-2.840926	5.259304	5.830380
9	8	3	-12.425650	7.795283	5.707979	8.575228	4.630939	-0.910018	5.830380
9	8	5	-10.728948	7.795283	5.707979	-2.925921	-2.840926	5.259304	-1.974058
9	8	7	-8.665087	7.795283	-0.844319	5.234177	-2.840926	5.259304	5.829905
10	4	65	-12.622375	8.481557	6.030000	6.786685	-2.255003	7.587817	-1.366539
